[DATETIME_KEY],AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.12.10T12:26:00,2,1,1,-1,2,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020.12.10T12:27:00,1,-2,1,1,2,1,-2,2,2,-1,-1,-2,1,-1,1,-1,-1,1,1,-1,-1,-2,-1,-1,1,2,1,-1,2,2,2,2,-2,-2,-1,-1,1,-2,-1,1,-1,-1
2020.12.10T12:28:00,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-2,-1,1,1,-1,-1,1,1,-1,2,-1
2020.12.10T12:29:00,1,1,1,1,1,-2,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,1,1,-1,-2,-2,1,1,2,-1,1,1,1,1,-1,1
2020.12.10T12:30:00,-1,-2,-1,-2,-2,2,-1,-1,1,1,1,1,-1,-1,1,-1,-1,2,1,1,1,1,1,-1,1,2,2,1,1,1,1,2,1,-1,-2,-1,-1,1,-1,-1,2,-1
2020.12.10T12:31:00,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-2,1,-1,-1,1,-1,-1,2,2,2,2,2,2,2,-1,1,-1,1,1,1,-1,-1,-2,1,-1,-1,1,1,-1,-1
2020.12.10T12:32:00,1,1,2,1,1,2,-1,1,1,1,1,1,2,-1,1,1,-1,1,1,-2,-2,-2,-2,-2,-2,2,-1,-1,1,1,2,2,-1,-1,-1,-1,1,-2,-1,-1,-1,-1
2020.12.10T12:33:00,-1,1,1,2,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-2,-2,-1,-2,-1,-1,-1,-1,-2,-1,-1,1,1,1,1,2,2,1,1,2,-1
2020.12.10T12:34:00,-2,-2,-2,2,-2,2,1,1,-1,1,-2,-2,2,1,-1,1,-1,1,-1,-1,-2,-2,-2,-1,-2,1,-2,-2,-2,-2,-2,-1,-1,1,2,1,1,1,1,1,2,-2
2020.12.10T12:35:00,1,-2,1,1,1,-1,-2,1,2,-1,-1,-2,1,1,1,1,-1,1,1,-1,-1,-2,-1,-1,-1,2,-1,-2,1,1,2,2,-1,-2,-1,-1,1,-1,-1,-1,-1,2
2020.12.10T12:36:00,2,2,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,-1,-1,-1,1,2,-1,-1,1,1,1,-1
2020.12.10T12:37:00,-2,-2,-1,1,-2,-1,1,2,1,1,-1,1,2,-1,1,2,-1,-2,-1,-1,-2,-2,-1,-1,-2,1,-2,-2,-1,-2,2,2,-1,1,-1,1,2,-1,-1,1,-2,-1
2020.12.10T12:38:00,-2,1,-1,2,-2,1,2,1,-1,1,-1,1,2,-1,-1,1,1,1,-1,-1,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,1,2,2,1,1,1,1,1,1,-1
2020.12.10T12:39:00,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1
2020.12.10T12:40:00,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-2,-1,-2,-1,-1,-2,-1,-1,-1,1,1,-1,-1,-1,-1,2,2,2,1,1,1,1,1,-2,-1
2020.12.10T12:41:00,-2,-1,1,-1,1,2,1,2,1,1,-1,-1,-2,-1,1,-1,-1,1,1,2,1,2,2,2,2,1,-1,-1,1,2,2,1,-2,-1,-2,-1,-1,-2,-1,-1,1,1
2020.12.10T12:42:00,-2,-2,-2,-2,-2,-2,-1,-2,-1,1,1,-1,-2,1,-1,1,1,2,-1,2,2,2,2,2,2,1,1,-2,-2,-2,2,1,2,1,1,1,-1,1,1,1,1,-1
2020.12.10T12:43:00,-2,-2,-1,1,-2,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,2,-1,-1,-1,-2,-2,-1,-2,1,-2,-2,-2,-2,-2,-1,2,1,1,1,1,2,1,1,2,-2
